Link,Title,Location,Summary
https://kr.indeed.com/viewjob?jk=9fe4755841bec8ce,"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터) 경력직",한국정보기술단 과천 과천시,"데이터 분석 및 컨설팅 분야 ( Python, SAS, 빅데이터) 경력직... 대졸 이상 (학사 이상 우대) - 데이터 분석 분야 경력 2년 이상 ( Python, R, SAS 기반의 DATA Preparation, 통계, 머신러..."
https://kr.indeed.com/viewjob?jk=55584c627df1acaa,데이터 분석가/사이언티스트(신입/인턴 가능),쏘카 대한민국,"Sheet) 등 데이터 분석 도구를 원활히 다루시거나, 앞으로 원활히 다루고자 하는 의지가 높으신 분 • Python, R 등의 프로그래밍 언어 혹은 데이터 분석 언어를 1개 이상 능숙하게 사용 가능하신 분 전형절차 서류..."
https://kr.indeed.com/viewjob?jk=d0e25e778a071c50,(주)아이옵스 소프트웨어 개발자,아이옵스 대전 유성구,"트스트랩, 웹개발, C++, C#, python, java 등 1개 이상의... 대사항] - 자바스크립트, 부트스트랩, 웹개발, C++, C#, python, java 등 1개 이상의 개발환경 능숙자 - Windows, Linux..."
https://kr.indeed.com/viewjob?jk=15eb7355628c349a,EUV CS Competency Engineer,ASML 대한민국,"skills Logical / analytical thinking Data analysis (MATLAB, Python, MS Excel etc) Capable of dealing... broad range..."
https://kr.indeed.com/viewjob?jk=dfb20fa220f3c478,"빅데이터, 인공지능(AI) 외 신입/경력 인턴",스칼라웍스 대한민국,인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝
https://kr.indeed.com/viewjob?jk=e05a4f462f4e81e3,경영지원본부 전산팀 경력사원,디비자산운용 대한민국,"및 네트워크 유지보수 가능자 4. 우대사항 - 전산 / 금융 관련 자격증 보유자 우대 - Oracle, Python, Java, Powerbuilder 프로그래밍 가능자 우대 - 운용사 / 사무관리사 / 증권사 등에서 관련..."
https://kr.indeed.com/viewjob?jk=0d207415a075d21c,Data Scientist (KOREA),No Deviation Pte Ltd 충청북도 청주,"data visualization - Experience using tools... SAS JMP, Python, Matlab, KNIME, and SIMCA - Experience with developing..."
https://kr.indeed.com/viewjob?jk=3ee73b74de360c58,Field Application YieldStar Competence E...,ASML 대한민국,"general metrology and scanner relation Tool handling(Matlab, Python, MS office....) Personal skills Strong ownership..."
https://kr.indeed.com/viewjob?jk=6aebabcddef7f514,Field Application Engineer,Nearfield Instruments 대한민국,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
https://kr.indeed.com/viewjob?jk=89f3e10d77a126bf,Field Service Engineer,Nearfield Instruments 대한민국,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
